Reference,Study,Group,Common_nam,SpID,Species,Order,BM,Guild,Type_hunting,Region,Country,Longitude,Latitude,Protected_Area,Access_point,N_hunted,N_control,Abund_hunted,Abund_control,SD_hunted,SD_control,unit,Distance_Km,RR,SamplingVar,Biome,HumanPopDens,TravelTime
"Wright et al., 2000",100,Mammals,Red brocket deer and white-tailed deer,279,Mazama americana and Odocoileus virginianus,Cetartiodactyla,39.15,Herb,SC,C America,Panama,-79.71,9.137,Yes,Settlement,16,17,0.763,2.41,0.874,1.553,n/km,2.3,-1.149,0.106,Tropical forest,611.44,41
"Cabassu, 2010",56,Mammals,Central American Agouti,73,Dasyprocta punctata,Rodentia,2.67,Omn,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0.768,0.705,0.876,0.839,n/km,1,0.086,0.315,Tropical forest,0.73,1485
"Baur, 1998",95,Mammals,White-lipped peccary,190,Tayassu pecari,Cetartiodactyla,32.23,Frug,SC,C America,Guatemala,-90.055,17.461,Yes,Settlement,74,111,0.77,0.79,0.877,0.889,n/km,14,-0.025,0.029,Tropical forest,2.39,777
"Peres and Lake, 2003",9,Mammals,Howler monkeys,6,Alouatta spp,Primates,6.5,Herb,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.769,0.217,0.877,0.466,n groups/10 km,0.75,1.265,0.131,Tropical forest,0.24,2389
"Peres and Lake, 2003",9,Mammals,Humboldt's Woolly Monkey,90,Lagothrix lagotricha,Primates,6.3,Frug,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.771,0.71,0.878,0.843,n groups/10 km,3.25,0.082,0.06,Tropical forest,0.24,2389
Endo et al 2010,57,Mammals,Central American Agouti,73,Dasyprocta punctata,Rodentia,2.67,Omn,S,S America,Peru,-71.63,-11.864,Yes,Settlement,3,3,1.72,1.88,0.884,0.799,n/km2,15,-0.089,0.148,Tropical forest,0.08,1667
Urquiza-Haas et al. 2011,135,Mammals,White-nosed Coati,110,Nasua narica,Carnivores,4.03,Frug,S,C America,Mexico,-88.183,19.312,No,Settlement,30,29,0.79,2.73,0.889,1.652,groups/10 km,3.5,-1.239,0.055,Tropical forest,3.36,192
"Peres and Lake, 2003",9,Mammals,Humboldt's Woolly Monkey,90,Lagothrix lagotricha,Primates,6.3,Frug,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.792,0.71,0.89,0.843,n groups/10 km,4.25,0.109,0.059,Tropical forest,0.24,2389
"Blom et al., 2004",20,Mammals,Western gorilla,83,Gorilla gorilla,Primates,131.63,Herb,C,Africa,Central African Republic,16.278,2.959,No,Road & Settlement,16,32,0.8,2,0.894,1.414,n 500 m blocks with signs/total n 500 m blocks,2,-0.916,0.094,Tropical forest,5.19,228
"Lahm, 1993",11,Mammals,Guereza,57,Colobus guereza,Primates,10.6,Herb,SC,Africa,Gabon,13.092,0.687,No,Road & Settlement,6,4,0.8,6.8,0.894,2.608,n/km2,2.5,-2.138,0.245,Tropical forest,0.87,619
